rank_by_product_pip	snp	mean_pip	min_pip	product_pip	n_cs_memberships	functional_priority_grade	functional_prior_score	functional_anchor	priority_class	trait	pip	trait_label
13	rs7097656	0.0490959541992751	0.0296736199119938	3.48572115323883e-06	3	not_in_core_annotation_table	NA	FALSE	Supportive variant	TC	0.0410982003477736	TC
14	rs7896832	0.0456042753945275	0.0307978059629924	3.4480464540532e-06	4	not_in_core_annotation_table	NA	FALSE	Supportive variant	TC	0.0372859041659994	TC
15	rs1878036	0.0491416149498262	0.0210965912939168	2.98547696683049e-06	2	not_in_core_annotation_table	NA	FALSE	Supportive variant	TC	0.0744466976949869	TC
1	rs1870140	0.172590107016252	0.0079711715188908	6.96803557296725e-05	3	moderate_priority_supportive_variant	8	FALSE	Supportive variant	LDL-C	0.377990570934207	LDL-C
2	rs1902660	0.0746257084208744	0.0553636145623753	2.56573006406093e-05	4	moderate_priority_supportive_variant	9	FALSE	Regulatory priority	LDL-C	0.0606283694512848	LDL-C
3	rs1870137	0.0654099814159689	0.0414881201557372	1.61548610530996e-05	4	highest_priority_functional_anchor	18	TRUE	External CRISPRi anchor	LDL-C	0.0414881201557372	LDL-C
4	rs7080009	0.0619456316338543	0.036617135608221	1.25051342879476e-05	4	highest_priority_functional_anchor	16	TRUE	External CRISPRi anchor	LDL-C	0.036617135608221	LDL-C
5	rs6586030	0.0997099417067316	0.0077452515417471	1.21989505818414e-05	3	not_in_core_annotation_table	NA	FALSE	Supportive variant	LDL-C	0.208572769755246	LDL-C
6	rs6586028	0.0652267196230795	0.0377006977633988	1.19679251599454e-05	4	high_priority_regulatory_proxy	11	FALSE	Regulatory priority	LDL-C	0.0377006977633988	LDL-C
7	rs9633740	0.0539343812298403	0.0458216264575195	8.10449580197271e-06	4	not_in_core_annotation_table	NA	FALSE	Supportive variant	LDL-C	0.0466059508765178	LDL-C
8	rs7096909	0.100185709627832	0.0131849656477481	7.92451979878202e-06	2	context_variant	4	FALSE	Supportive variant	LDL-C	0.0205670019586286	LDL-C
9	rs7910643	0.0568565916656639	0.0326900424751859	5.61150085157929e-06	4	not_in_core_annotation_table	NA	FALSE	Supportive variant	LDL-C	0.0326900424751859	LDL-C
10	rs1870138	0.0494069723531491	0.036492777354851	5.46823463459958e-06	4	highest_priority_functional_anchor	16	TRUE	External CRISPRi anchor	LDL-C	0.036492777354851	LDL-C
11	rs7900536	0.0533116662397477	0.0334736318382943	5.0424110254907e-06	4	not_in_core_annotation_table	NA	FALSE	Supportive variant	LDL-C	0.0337291224002559	LDL-C
12	rs7922621	0.0517645002169049	0.0314112725025142	4.26436815848743e-06	4	context_variant	7	FALSE	Supportive variant	LDL-C	0.0328183655410882	LDL-C
13	rs7097656	0.0490959541992751	0.0296736199119938	3.48572115323883e-06	3	not_in_core_annotation_table	NA	FALSE	Supportive variant	LDL-C	0.0296736199119938	LDL-C
14	rs7896832	0.0456042753945275	0.0307978059629924	3.4480464540532e-06	4	not_in_core_annotation_table	NA	FALSE	Supportive variant	LDL-C	0.0408770097620653	LDL-C
15	rs1878036	0.0491416149498262	0.0210965912939168	2.98547696683049e-06	2	not_in_core_annotation_table	NA	FALSE	Supportive variant	LDL-C	0.0210965912939168	LDL-C
1	rs1870140	0.172590107016252	0.0079711715188908	6.96803557296725e-05	3	moderate_priority_supportive_variant	8	FALSE	Supportive variant	Non-HDL-C	0.146012077444302	non-HDL-C
2	rs1902660	0.0746257084208744	0.0553636145623753	2.56573006406093e-05	4	moderate_priority_supportive_variant	9	FALSE	Regulatory priority	Non-HDL-C	0.0553636145623753	non-HDL-C
3	rs1870137	0.0654099814159689	0.0414881201557372	1.61548610530996e-05	4	highest_priority_functional_anchor	18	TRUE	External CRISPRi anchor	Non-HDL-C	0.0638580966583434	non-HDL-C
4	rs7080009	0.0619456316338543	0.036617135608221	1.25051342879476e-05	4	highest_priority_functional_anchor	16	TRUE	External CRISPRi anchor	Non-HDL-C	0.0599993126789258	non-HDL-C
5	rs6586030	0.0997099417067316	0.0077452515417471	1.21989505818414e-05	3	not_in_core_annotation_table	NA	FALSE	Supportive variant	Non-HDL-C	0.0633840986087874	non-HDL-C
6	rs6586028	0.0652267196230795	0.0377006977633988	1.19679251599454e-05	4	high_priority_regulatory_proxy	11	FALSE	Regulatory priority	Non-HDL-C	0.0526965642029431	non-HDL-C
7	rs9633740	0.0539343812298403	0.0458216264575195	8.10449580197271e-06	4	not_in_core_annotation_table	NA	FALSE	Supportive variant	Non-HDL-C	0.0641679954968295	non-HDL-C
8	rs7096909	0.100185709627832	0.0131849656477481	7.92451979878202e-06	2	context_variant	4	FALSE	Supportive variant	Non-HDL-C	0.250186501771694	non-HDL-C
9	rs7910643	0.0568565916656639	0.0326900424751859	5.61150085157929e-06	4	not_in_core_annotation_table	NA	FALSE	Supportive variant	Non-HDL-C	0.0329244402531129	non-HDL-C
10	rs1870138	0.0494069723531491	0.036492777354851	5.46823463459958e-06	4	highest_priority_functional_anchor	16	TRUE	External CRISPRi anchor	Non-HDL-C	0.0574389210529367	non-HDL-C
11	rs7900536	0.0533116662397477	0.0334736318382943	5.0424110254907e-06	4	not_in_core_annotation_table	NA	FALSE	Supportive variant	Non-HDL-C	0.0334736318382943	non-HDL-C
12	rs7922621	0.0517645002169049	0.0314112725025142	4.26436815848743e-06	4	context_variant	7	FALSE	Supportive variant	Non-HDL-C	0.0314112725025142	non-HDL-C
13	rs7097656	0.0490959541992751	0.0296736199119938	3.48572115323883e-06	3	not_in_core_annotation_table	NA	FALSE	Supportive variant	Non-HDL-C	0.0298461837600434	non-HDL-C
14	rs7896832	0.0456042753945275	0.0307978059629924	3.4480464540532e-06	4	not_in_core_annotation_table	NA	FALSE	Supportive variant	Non-HDL-C	0.0307978059629924	non-HDL-C
15	rs1878036	0.0491416149498262	0.0210965912939168	2.98547696683049e-06	2	not_in_core_annotation_table	NA	FALSE	Supportive variant	Non-HDL-C	0.0760171649280605	non-HDL-C
